collocate,raw_frequency,MI
to,393339,1.2792327728610198
her,157324,2.8870969689339256
be,81619,0.7121878048102033
near,4122,0.9322913474218081
but,94079,1.3787115208417466
blind,878,0.9746611184608218
like,28291,1.714136298123973
watchful,158,1.9965654985090264
frequently,387,1.7938830190661565
lifted,1437,1.5806071146850231
and,464653,1.541666743506026
took,9099,1.6809103534626706
on,83998,1.0677197942352716
s,98437,3.447317742185074
knee,731,3.029696429247751
lips,3164,1.3021532956424944
sobbed,206,2.4244315433063575
that,184707,1.4248743017911374
was,187449,1.666657991633779
taken,4864,1.2775943089922004
rejoin,50,3.8402847066677923
your,32982,3.771025420631731
have,75818,0.9229359489020884
you,154336,1.0121705622497863
she,141679,0.5777386708038785
read,4197,1.6614742473688429
rang,580,1.3892796085554735
i,263140,0.8534810638581027
afterwards,1737,1.2086836777289884
kissed,1441,1.7319780845917845
its,12912,0.48361989892242774
dead,4175,2.729624079483508
certainly,3100,1.659060470678014
though,12104,1.6652024613002723
a,313437,1.0036773688260674
m,7914,0.7908221106928335
paul,515,3.587582353112038
my,79926,3.8352549377056193
is,80966,1.736261703989946
not,98938,0.9730122634343004
go,18469,0.45418742652828237
asked,9525,1.991829893763192
the,716071,0.9001363624956585
good,21327,1.435236798792084
it,173534,0.6262434887691547
seems,2228,1.5475255078250378
believe,5216,1.2722631501692854
mother,11072,3.518426976808558
close,3308,0.7468209446204662
up,34684,0.49694706514956866
relieved,502,1.9391727005123736
graham,284,2.5087985820428966
said,69057,2.2318310035444435
tenderly,474,0.8979532098409165
then,30756,1.1561369542272353
which,55348,1.0129620509478696
received,2072,1.987840285618156
with,119666,1.550849614717329
fancy,1791,1.3603905987033365
what,45925,1.1446771870577037
his,151274,2.880772514444624
left,9449,1.7341377332424621
him,78172,0.9164577047892846
come,21102,0.9521850315440142
about,25796,1.4655340028735613
hear,5439,1.502332469836455
son,4412,3.3492083782868196
coming,4611,1.3955492215690688
home,7880,1.4882747303462236
mrs,15267,0.37015059544549117
bretton,244,1.5619923062427912
rejoined,276,2.1319068463787882
think,18234,0.9857868876745132
arm,3454,1.8563112519958096
beside,1967,2.247484435386715
looked,13768,1.192619839774264
at,94972,1.2432700388820976
made,17522,1.0946105080800035
voice,7478,1.135172149552925
of,385180,1.3173301330754261
as,118566,1.3291788192869196
he,205737,0.9340541812322932
threw,1337,2.058201531770269
really,5290,1.1936372077858581
even,13366,1.169608996109202
noticed,1032,1.9116660547225401
this,53893,0.6070559096929468
approached,678,2.149451156029698
chair,3311,1.5191043514502836
they,51271,0.12630296779302752
more,30529,0.7931712115574749
than,23706,1.3164104121828784
gathered,967,0.1849620360826988
rich,1938,1.7923338320793272
