node,betweenness,eigenvector,degree
Benjamin Netanyahu,0.0,0.13173472694164462,1
Netanyahu,0.2549019607843137,0.7408069939166628,28
Obama,0.0,0.13173472694164462,1
Timothy M. Kaine,0.0,0.13173472694164462,1
Susan E. Rice,0.0,0.13173472694164462,1
John A. Boehner,0.0,0.13173472694164462,1
Rice,0.0,0.13173472694164462,1
John F. Kerry,0.0,0.13173472694164462,1
Kerry,0.0,0.13173472694164462,1
Aaron David Miller,0.0,0.13173472694164462,1
Winston Churchill,0.0,0.13173472694164462,1
Biden,0.0,0.13173472694164462,1
Martin Indyk,0.0,0.13173472694164462,1
Kaine,0.0,0.13173472694164462,1
Patrick J. Leahy,0.0,0.13173472694164462,1
Bernard Sanders,0.0,0.13173472694164462,1
Brian Schatz,0.0,0.13173472694164462,1
Chris Murphy,0.0,0.13173472694164462,1
Richard J. Durbin,0.0,0.13173472694164462,1
D-Ill,0.0,0.13173472694164462,1
Orrin G. Hatch,0.0,0.13173472694164462,1
Abraham Foxman,0.0,0.13173472694164462,1
Jack Reed,0.0,0.13173472694164462,1
D-R.I.,0.0,0.13173472694164462,1
Katie Zezima,0.0,0.13173472694164462,1
Mike DeBonis,0.0,0.13173472694164462,1
William Booth,0.0,0.13173472694164462,1
Garland,0.0,4.151114889938598e-21,2
Cruz,0.0,1.3507527349783418e-16,3
Mike Tyson,0.0,8.348111006134942e-17,1
Gary Johnson,0.0,6.493034661738393e-06,1
Johnson,0.021045751633986923,2.6944349268707148e-05,8
Donald Trump,0.006535947712418299,1.925608484656636e-05,4
Jill Stein,0.0,1.0858495861380682e-05,2
Stein,0.000915032679738562,1.811549118974446e-05,5
Bernie Sanders,0.0,6.493034661738393e-06,1
Clinton,0.024052287581699347,2.365131905995562e-05,8
Trump,0.00784313725490196,1.1196418058419838e-05,3
Hillary Clinton,0.0,5.699482160935221e-06,1
Hillary,0.0,5.699482160935221e-06,1
Francis,0.000392156862745098,1.1806092594975809e-08,5
Kim Davis,0.0,7.2965664980234965e-09,2
Davis,0.000392156862745098,1.1806092594975809e-08,5
Laycock,0.0,7.2965664980234965e-09,2
Guzman,0.0,4.151114889938598e-21,1
Riley,0.0,4.151114889938598e-21,1
Carson,0.0,3.554721801974877e-06,3
Curiel,0.0,4.151114889938598e-21,1
Kelly,0.0,4.151114889938598e-21,1
Boehner,0.0,8.348111006134939e-17,1
Ryan,0.0,1.3507527349783413e-16,3
Putin,0.0,5.699482160935221e-06,1
